Year,State,Flu_Deaths,All_Deaths,Deaths_Age_Group_Under_1,Deaths_Age_Group_1_to_24,Deaths_Age_Group_25_to_44,Deaths_Age_Group_45_to_64,Deaths_Age_Group_Above_65
2013,AL,1226.0,16463.0,313.0,329.0,994.0,4047.0,10776.0
2013,AR,220.0,4452.0,106.0,109.0,280.0,1122.0,2835.0
2013,AZ,824.0,17635.0,272.0,442.0,1152.0,4070.0,11631.0
2013,CA,5778.0,64570.0,1025.0,1243.0,3342.0,13583.0,45363.0
2013,CO,364.0,10115.0,197.0,193.0,611.0,2297.0,6815.0
2013,CT,669.0,7709.0,101.0,146.0,400.0,1675.0,5387.0
2013,DC,425.0,5653.0,160.0,156.0,329.0,1525.0,3436.0
2013,DE,56.0,520.0,2.0,4.0,29.0,122.0,363.0
2013,FL,825.0,14252.0,195.0,275.0,754.0,3304.0,9720.0
2013,GA,704.0,10848.0,199.0,301.0,810.0,2866.0,6669.0
2013,HI,461.0,4005.0,95.0,75.0,173.0,721.0,2941.0
2013,IA,355.0,4135.0,52.0,66.0,176.0,865.0,2975.0
2013,ID,176.0,3236.0,45.0,51.0,117.0,657.0,2366.0
2013,IL,1338.0,19008.0,244.0,425.0,1149.0,4497.0,12693.0
2013,IN,1534.0,20137.0,377.0,410.0,1129.0,4690.0,13531.0
2013,KS,406.0,6008.0,100.0,141.0,378.0,1581.0,3807.0
2013,KY,101.0,3820.0,72.0,63.0,240.0,951.0,2494.0
2013,LA,487.0,11209.0,240.0,313.0,824.0,2902.0,6930.0
2013,MA,1704.0,17380.0,272.0,313.0,899.0,3808.0,12068.0
2013,MD,654.0,8070.0,156.0,217.0,595.0,2425.0,4677.0
2013,MI,928.0,13735.0,277.0,351.0,894.0,3854.0,8359.0
2013,MN,645.0,8044.0,222.0,148.0,441.0,1915.0,5304.0
2013,MO,539.0,9568.0,274.0,287.0,696.0,2720.0,5536.0
2013,NC,481.0,6876.0,141.0,133.0,412.0,1612.0,4578.0
2013,NE,488.0,7149.0,100.0,132.0,289.0,1435.0,5193.0
2013,NJ,381.0,6865.0,99.0,189.0,606.0,1852.0,4110.0
2013,NM,489.0,6106.0,94.0,110.0,385.0,1331.0,4184.0
2013,NV,1027.0,15071.0,126.0,231.0,919.0,3579.0,10214.0
2013,NY,3765.0,72771.0,829.0,1036.0,3440.0,15180.0,52271.0
2013,OH,3327.0,49180.0,872.0,791.0,2506.0,11032.0,33979.0
2013,OK,546.0,6692.0,105.0,125.0,352.0,1720.0,4390.0
2013,OR,276.0,6620.0,80.0,113.0,359.0,1558.0,4510.0
2013,PA,997.0,15562.0,185.0,193.0,642.0,2963.0,11576.0
2013,RI,185.0,3253.0,58.0,31.0,105.0,642.0,2417.0
2013,TN,2032.0,27908.0,436.0,556.0,1641.0,7092.0,18182.0
2013,TX,3270.0,57198.0,1175.0,1372.0,3825.0,14298.0,36509.0
2013,UT,664.0,8802.0,188.0,235.0,585.0,1784.0,6009.0
2013,VA,255.0,5733.0,168.0,160.0,372.0,1563.0,3469.0
2013,WA,1059.0,15830.0,188.0,367.0,799.0,3515.0,10961.0
2013,WI,306.0,4230.0,79.0,94.0,283.0,1146.0,2628.0
2014,AL,1302.0,18002.0,333.0,386.0,1153.0,4520.0,11605.0
2014,AR,176.0,3795.0,124.0,117.0,275.0,977.0,2302.0
2014,AZ,804.0,18037.0,295.0,382.0,1162.0,4142.0,12027.0
2014,CA,5413.0,65348.0,961.0,1171.0,3344.0,14178.0,45672.0
2014,CO,379.0,10864.0,163.0,198.0,687.0,2484.0,7331.0
2014,CT,586.0,7902.0,129.0,120.0,413.0,1771.0,5469.0
2014,DC,411.0,5481.0,186.0,118.0,333.0,1518.0,3326.0
2014,DE,49.0,607.0,1.0,9.0,35.0,134.0,428.0
2014,FL,1272.0,20760.0,342.0,407.0,1099.0,4691.0,14152.0
2014,GA,628.0,10150.0,179.0,270.0,816.0,2679.0,6206.0
2014,HI,451.0,4178.0,60.0,76.0,196.0,841.0,2996.0
2014,IA,132.0,1544.0,10.0,25.0,76.0,351.0,1082.0
2014,ID,193.0,3283.0,44.0,67.0,139.0,574.0,2439.0
2014,IL,1261.0,20084.0,288.0,453.0,1167.0,4877.0,13296.0
2014,IN,1492.0,20546.0,383.0,411.0,1188.0,4884.0,13680.0
2014,KS,425.0,6364.0,90.0,134.0,415.0,1618.0,4106.0
2014,KY,102.0,4107.0,81.0,76.0,293.0,1037.0,2620.0
2014,LA,552.0,12200.0,256.0,338.0,859.0,3076.0,7671.0
2014,MA,1641.0,17422.0,315.0,288.0,976.0,3893.0,11945.0
2014,MD,550.0,8074.0,190.0,204.0,649.0,2509.0,4520.0
2014,MI,979.0,13691.0,290.0,336.0,917.0,3662.0,8479.0
2014,MN,589.0,8257.0,240.0,167.0,441.0,1970.0,5429.0
2014,MO,560.0,10727.0,306.0,335.0,805.0,3097.0,6116.0
2014,NC,411.0,7390.0,161.0,145.0,468.0,1734.0,4876.0
2014,NE,544.0,7447.0,122.0,129.0,345.0,1555.0,5296.0
2014,NJ,356.0,6969.0,92.0,212.0,553.0,1939.0,4173.0
2014,NM,582.0,6794.0,91.0,133.0,470.0,1527.0,4570.0
2014,NV,1216.0,15880.0,151.0,261.0,970.0,3776.0,10704.0
2014,NY,3715.0,76571.0,783.0,1034.0,3497.0,15850.0,55395.0
2014,OH,3031.0,50195.0,1008.0,790.0,2591.0,11318.0,34488.0
2014,OK,593.0,6804.0,132.0,123.0,392.0,1772.0,4385.0
2014,OR,293.0,6491.0,76.0,117.0,352.0,1511.0,4435.0
2014,PA,776.0,13216.0,111.0,150.0,522.0,2458.0,9973.0
2014,RI,152.0,3415.0,37.0,53.0,120.0,716.0,2489.0
2014,TN,2294.0,29316.0,455.0,593.0,1765.0,7481.0,19020.0
2014,TX,3150.0,60876.0,1095.0,1414.0,4071.0,15271.0,38967.0
2014,UT,670.0,9206.0,213.0,218.0,664.0,1928.0,6182.0
2014,VA,293.0,5751.0,141.0,181.0,390.0,1552.0,3483.0
2014,WA,986.0,15919.0,211.0,337.0,807.0,3515.0,11003.0
2014,WI,271.0,4066.0,76.0,64.0,284.0,1066.0,2576.0
2015,AL,1213.0,16953.0,318.0,385.0,1142.0,4091.0,11016.0
2015,AR,615.0,5710.0,129.0,134.0,327.0,1441.0,3679.0
2015,AZ,774.0,18497.0,235.0,379.0,1179.0,4179.0,12422.0
2015,CA,5459.0,67646.0,967.0,1211.0,3541.0,14049.0,47865.0
2015,CO,354.0,9722.0,160.0,177.0,651.0,2163.0,6571.0
2015,CT,659.0,8004.0,131.0,126.0,437.0,1772.0,5537.0
2015,DC,492.0,5648.0,184.0,170.0,343.0,1589.0,3362.0
2015,DE,68.0,650.0,1.0,7.0,29.0,134.0,479.0
2015,FL,1361.0,21735.0,349.0,466.0,1167.0,5019.0,14672.0
2015,GA,654.0,11546.0,205.0,296.0,878.0,2941.0,7226.0
2015,HI,488.0,4302.0,73.0,49.0,151.0,736.0,3293.0
2015,IA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,ID,203.0,3430.0,44.0,43.0,135.0,653.0,2555.0
2015,IL,1311.0,20500.0,280.0,466.0,1261.0,4874.0,13616.0
2015,IN,1412.0,20697.0,377.0,509.0,1294.0,4872.0,13631.0
2015,KS,509.0,6438.0,90.0,152.0,408.0,1626.0,4162.0
2015,KY,90.0,4579.0,80.0,106.0,328.0,1176.0,2889.0
2015,LA,581.0,12012.0,247.0,314.0,875.0,2990.0,7585.0
2015,MA,1642.0,18057.0,279.0,320.0,1119.0,3945.0,12391.0
2015,MD,577.0,7273.0,136.0,243.0,684.0,2208.0,4002.0
2015,MI,994.0,13813.0,309.0,330.0,958.0,3673.0,8543.0
2015,MN,651.0,8377.0,221.0,201.0,446.0,1881.0,5619.0
2015,MO,526.0,10447.0,285.0,438.0,828.0,2918.0,5926.0
2015,NC,470.0,7630.0,181.0,187.0,449.0,1744.0,5061.0
2015,NE,657.0,7691.0,126.0,138.0,333.0,1565.0,5529.0
2015,NJ,325.0,7037.0,114.0,193.0,583.0,1925.0,4219.0
2015,NM,498.0,6616.0,70.0,130.0,471.0,1456.0,4487.0
2015,NV,1240.0,16224.0,143.0,295.0,989.0,3743.0,11050.0
2015,NY,3653.0,75943.0,798.0,1042.0,3464.0,15135.0,55463.0
2015,OH,3039.0,52082.0,1054.0,941.0,2845.0,11449.0,35793.0
2015,OK,709.0,6807.0,117.0,116.0,435.0,1661.0,4477.0
2015,OR,239.0,6701.0,81.0,110.0,365.0,1421.0,4692.0
2015,PA,522.0,8650.0,58.0,88.0,369.0,1493.0,6642.0
2015,RI,179.0,3424.0,49.0,50.0,165.0,695.0,2465.0
2015,TN,2220.0,29885.0,478.0,608.0,1797.0,7431.0,19571.0
2015,TX,3035.0,58361.0,1170.0,1404.0,3944.0,13913.0,37920.0
2015,UT,681.0,9321.0,189.0,231.0,693.0,1969.0,6238.0
2015,VA,265.0,5260.0,132.0,74.0,257.0,1413.0,3380.0
2015,WA,1067.0,15335.0,223.0,285.0,786.0,3293.0,10687.0
2015,WI,218.0,4264.0,83.0,96.0,359.0,1088.0,2638.0
2016,AL,886.0,13049.0,267.0,303.0,884.0,3079.0,8513.0
2016,AR,389.0,3775.0,122.0,94.0,248.0,975.0,2336.0
2016,AZ,792.0,14707.0,192.0,345.0,934.0,3437.0,9776.0
2016,CA,4261.0,52369.0,704.0,964.0,2809.0,11129.0,36746.0
2016,CO,173.0,3289.0,109.0,71.0,222.0,694.0,2192.0
2016,CT,485.0,5406.0,81.0,97.0,317.0,1197.0,3712.0
2016,DC,287.0,3500.0,102.0,72.0,206.0,1010.0,2110.0
2016,DE,44.0,488.0,1.0,2.0,23.0,85.0,377.0
2016,FL,1148.0,16839.0,260.0,324.0,1057.0,3880.0,11296.0
2016,GA,494.0,8615.0,142.0,236.0,659.0,2249.0,5329.0
2016,HI,366.0,3459.0,60.0,42.0,140.0,623.0,2594.0
2016,IA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,ID,129.0,2688.0,40.0,47.0,122.0,493.0,1986.0
2016,IL,989.0,15743.0,205.0,438.0,1207.0,3771.0,10120.0
2016,IN,1155.0,15644.0,284.0,346.0,1004.0,3651.0,10359.0
2016,KS,336.0,4783.0,77.0,106.0,332.0,1243.0,3024.0
2016,KY,73.0,3556.0,55.0,59.0,267.0,782.0,2393.0
2016,LA,344.0,9145.0,209.0,245.0,681.0,2258.0,5752.0
2016,MA,1086.0,12885.0,189.0,240.0,907.0,2845.0,8703.0
2016,MD,414.0,6427.0,138.0,217.0,589.0,1940.0,3541.0
2016,MI,732.0,10509.0,199.0,267.0,757.0,2912.0,6370.0
2016,MN,520.0,6499.0,177.0,133.0,377.0,1561.0,4243.0
2016,MO,327.0,6941.0,207.0,223.0,582.0,1909.0,3982.0
2016,NC,343.0,5811.0,110.0,128.0,392.0,1315.0,3866.0
2016,NE,388.0,5652.0,94.0,103.0,228.0,1156.0,4071.0
2016,NJ,182.0,4785.0,73.0,142.0,450.0,1333.0,2778.0
2016,NM,389.0,5113.0,51.0,114.0,361.0,1089.0,3498.0
2016,NV,1048.0,13052.0,110.0,240.0,781.0,3004.0,8914.0
2016,NY,2618.0,56918.0,544.0,790.0,2894.0,11730.0,40950.0
2016,OH,2182.0,39328.0,726.0,717.0,2420.0,8889.0,26576.0
2016,OK,473.0,4952.0,91.0,93.0,322.0,1174.0,3272.0
2016,OR,132.0,4818.0,59.0,88.0,245.0,1095.0,3331.0
2016,PA,253.0,5503.0,35.0,65.0,234.0,969.0,4199.0
2016,RI,122.0,2596.0,39.0,38.0,134.0,576.0,1809.0
2016,TN,1654.0,23150.0,396.0,541.0,1555.0,5699.0,14959.0
2016,TX,2505.0,45468.0,843.0,1115.0,3245.0,10951.0,29307.0
2016,UT,538.0,7435.0,140.0,196.0,563.0,1545.0,4990.0
2016,VA,152.0,3698.0,82.0,58.0,162.0,1002.0,2394.0
2016,WA,557.0,8149.0,79.0,118.0,374.0,1688.0,5825.0
2016,WI,118.0,3295.0,42.0,83.0,276.0,886.0,2008.0
